FID	GSID	INDEX	Station_Na	District	Type	Running_No	Lon	Lat	Elevation	latitud	longitud
0	300	1006	Gumthang	Sindhupalchok	PRECIPITATION	t	85.85965194	27.85531	1846	3081696.579	387724.4893
1	302	1008	Nawalpur	Sindhupalchok	PRECIPITATION	t	85.6241	27.81306111	1653	3077253.807	364477.8913
2	303	1009	Chautara	Sindhupalchok	PRECIPITATION	t	85.73207778	27.75378333	1552	3070572.071	375046.6615
3	310	1016	Sarmathang	Sindhupalchok	Climatology	t	85.59513611	27.94456111	2574	3091855.272	361791.7863
4	311	1017	Duwachaur	Sindhupalchok	PRECIPITATION	t	85.56695	27.85776111	1483	3082270.619	358905.9797
5	312	1018	Baunepati	Sindhupalchok	PRECIPITATION	t	85.57264583	27.79248889	774	3075032.445	359382.7317
6	314	1020	Mandan	Kabhre	PRECIPITATION	t	85.635637	27.69382389	1358	3064030.942	365467.8619
7	317	1023	Dolal	Ghat	Kabhre	PRECIPITATION	85.70498083	27.63882194	659	3057863.729	372242.1895
8	318	1024	Dhulikhel	Kabhre	Climatology	t	85.56550278	27.61611667	1543	3055500.324	358451.4503
9	319	1025	Dhap	Sindhupalchok	PRECIPITATION	t	85.633379	27.91245194	1284	3088255.186	365514.7183
10	321	1027	Bahrabise	Sindhupalchok	Climatology	t	85.89998583	27.78868083	884	3074278.858	391629.7838
11	322	1028	Pachuwar	Ghat	Kabhre	PRECIPITATION	85.74888889	27.55361111	633	3048379.087	376478.7597
12	329	1036	Panchkhal	Kabhre	Agrometeorology	t	85.62095556	27.64520278	857	3058660.409	363959.8311
13	342	1049	Khopasi(Panauti)	Kabhre	PRECIPITATION	t	85.52855278	27.57225278	1442	3050683.535	354747.1435
14	350	1058	Tarke	Ghyang	Sindhupalchok	PRECIPITATION	85.55444389	27.99931778	2596	3097968.693	357859.8867
15	354	1062	Sangachok	Sindhupalchok	PRECIPITATION	t	85.70658333	27.68336667	1194	3062796.998	372452.0234
16	355	1063	Thokarpa	Sindhupalchok	PRECIPITATION	t	85.77861194	27.68766278	1565	3063200.502	379560.3449
17	9	1078	Dhap	Sindhupalchok	PRECIPITATION	t	85.63250083	27.901426	1347	3087034.571	365414.6422
18	26	1101	Nagdaha	Dolkha	PRECIPITATION	t	86.10399389	27.67633111	909	3061669.68	411638.5286
19	30	1103	Jiri	Dolkha	Agrometeorology	t	86.23211389	27.63044722	1877	3056501.658	424242.1951
20	33	1104	Melung	Dolkha	PRECIPITATION	t	86.05	27.51666667	1536	3044022.315	406177.6742
21	45	1108	Bahun	Tilpung	Sindhuli	PRECIPITATION	86.16666667	27.18333333	1417	3007015.611	417453.4716
22	59	1115	Nepalthok	Sindhuli	PRECIPITATION	t	85.84864444	27.419825	690	3033462.747	386190.8686
23	76	1123	Manthali	Ramechhap	Climatology	t	86.06123333	27.39470278	497	3030503.314	407185.0672
24	78	1124	Kabre	Dolkha	Agrometeorology	t	86.13333333	27.63333333	1755	3056885.847	414498.5824
25	82	1202	Chaurikhark	Solukhumbu	PRECIPITATION	t	86.7167	27.69653056	2642	3063618.343	472067.5196
