station,Station Name,regions,lat,long,elevation
1316,Chatara,Tarai,26.82044,87.15917,105.0
1201,Namche Bazar,High Mountain,27.81667,86.71667,3450.0
1401,Olangchuhg G,High Mountain,27.68333,87.78333,3119.0
1225,Syangboche,High Mountain,27.81667,86.71667,3700.0
1218,Tengboche,High Mountain,27.83333,86.76667,3857.0
1206,Okhaldhunga,Hill,27.30812083,86.504225,1731.0
1405,Taplejung,Hill,27.35861111,87.67,1744.0
1103,Jiri,Hill,27.63044722,86.23211389,1877.0
1036,Panchkhal,Hill,27.6451338,85.620881,857.0
1016,Sarmathang,Middle Mountain,27.94456111,85.59513611,2574.0
1123,Manthali,Hill,27.39470278,86.06123333,497.0
1124,Kabre,Hill,27.63333333,86.13333333,1755.0
1212,Phatepur,Siwalik,26.730538,86.934812,101.0
1219,Salleri,Middle Mountain,27.50511778,86.586215,2383.0
1222,Diktel,Hill,27.21252194,86.79188583,1612.0
1304,Pakhribas,Hill,27.046316,87.292473,1720.0
1327,Khadbari,Hill,27.39106194,87.20438389,1064.0
1303,Chainpur (East),Hill,27.29209694,87.31696583,1277.0
1307,Dhankuta,Hill,26.98321944,87.34595556,1192.0
1024,Dhulikhel,Hill,27.61611667,85.56550278,1543.0
1419,Phidim (Panchther),Hill,27.14367389,87.765595,1157.0
1314,Terhathum,Hill,27.12304,87.53619,1525.0
9999,Lubuche,High Mountain,27.961111,86.808889,5200.0
