Station	Geo_region	Station_Name	Elevation	Lat	Long		
1016	Mountain	Sarmathang	2574	27.94456111	85.59513611		
1024	Hill	Dhulikhel	1543	27.61611667	85.56550278		
1036	Hill	Panchkhal	857	27.6451338	85.620881		
1103	Mountain	Jiri	1877	27.63044722	86.23211389		
1123	Hill	Manthali	497	27.39470278	86.06123333		
1124	Mountain	Kabre	1755	27.63333333	86.13333333		
1206	Hill	Okhaldhunga	1731	27.30812083	86.504225		
1212	Terai	Phattepur	101	26.730538	86.934812		
1219	Mountain	Salleri	2383	27.50511778	86.586215		
1222	Hill	Diktel	1612	27.21252194	86.79188583		
1303	Mountain	Chainpur (East)	1277	27.29209694	87.31696583		
1304	Hill	Pakhribas	1720	27.046316	87.292473		
1307	Hill	Dhankuta	1192	26.98321944	87.34595556		
1314	Hill	Terhathum	1525	27.12304	87.53619		
1327	Mountain	Khadbari	1064	27.39106194	87.20438389		
1405	Mountain	Taplejung	1744	27.35861111	87.67		
1419	Hill	Phidim (Panchther)	1157	27.14367389	87.765595		
