naming,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1962 to 1971,1972 to 1981,1982 to 1991, 1992 to 2001,2002 to 2011,2012 to 2021,1977 to 1994, 1980 to 2018,1988 to 2010, 1976 to 2005,1981-2010,1977-2000,1962 - 2022,Total count
Tavg High Mountain Monsoon,8.944618496,8.747119402,8.910318433,8.209850906,8.380622978,8.94449137,9.097726962,9.035362695,8.833949115,8.910921346,9.186461613,9.097041658,8.378803138,8.939315495,8.891723718,9.328263034,8.968687422,8.837497782,8.759563975,8.347177767,8.625800882,8.393033729,7.695359512,7.928468719,7.924164814,7.640764857,7.649471818,7.379373819,8.163425918,7.755250409,7.954948574,7.711781828,8.303435205,7.904150275,7.889765555,7.904299675,8.118463609,7.962205582,8.168478051,7.731971042,8.015660718,8.075833478,7.851038815,8.292261658,8.120037505,8.115374908,8.036778049,8.2962404,8.027954515,7.930369121,8.262028486,8.015656708,8.165994879,8.075642608,7.96623893,8.437845485,8.339820386,8.493801061,8.291706938,8.339291672,8.531561068,0.025195464,-0.043016788,-0.073591079,0.00085698,0.002134045,0.033520552,-0.075398245,0.002375133,0.018003395,-0.029029661,0.002603429,-0.040197421,-0.013523589,61
Tavg High Mountain Postmonsoon,3.280219799,2.892888437,3.625662244,2.82121038,1.587037255,1.168747875,2.79996989,3.049101885,2.370532646,2.997389786,3.047669719,2.885001439,3.384293799,2.787965097,3.2459922,3.06086091,2.577511511,2.768075155,2.787702693,2.042382659,1.563023851,2.410188657,2.286243096,1.880314979,2.040112815,2.554794078,2.584164598,2.356235126,2.58131707,2.37902716,2.310043619,2.705060241,2.096793262,2.701675028,2.542127334,1.657210446,3.81692123,2.724728708,2.979949099,2.766821706,3.001719514,2.963142686,1.900938797,2.545716992,2.543737961,3.183027743,2.932688339,2.854256732,2.987079042,2.792580425,2.40955896,2.422848655,2.465696667,2.854722823,2.687895459,3.175745069,2.45236216,3.340880815,3.765566655,3.42603624,3.293906328,-0.057980444,-0.082583394,0.069806781,0.070519538,0.029406644,0.134569757,-0.013093437,0.016340481,0.022247082,0.005278784,0.030451494,0.012658804,0.005141139,61
Tavg High Mountain Premonsoon,4.072896502,3.47085996,4.278068452,3.600598184,4.395854769,2.3002856,4.097140687,4.662564834,4.272731269,3.657266464,4.895611515,4.653184552,4.492555511,3.51470912,4.355999258,4.22578538,3.988462948,4.856022917,4.769467838,3.981965202,3.681947541,4.199628635,4.534717013,4.443812593,3.483656567,3.394192872,4.068978063,3.947279346,3.106170576,4.343673954,4.632987425,3.458198206,4.288364857,4.791817994,4.598273473,3.550807022,3.945739015,5.140020195,4.295257083,4.071372629,3.936793984,4.058379341,4.442597425,4.145370965,4.216699387,4.32748128,4.439522029,4.546051149,5.82673428,4.306307048,4.692628719,4.700728694,4.636948088,4.322983306,4.867692323,4.363022385,4.283151714,4.394580268,3.81455901,4.532701304,5.610084432,0.019327085,-0.026063328,-0.035453481,0.008954256,0.104330945,-0.057445687,-0.026349974,0.017649586,0.035223614,-4.35125E-05,0.026062955,0.003202973,0.011279029,61
Tavg High Mountain Winter,-1.49013307,-1.203333239,-1.619945101,-1.537725759,-1.312090749,-2.063463094,-1.802905578,-1.011442614,-1.666401354,-1.564607592,-1.014098556,-0.561556192,-1.697067173,-3.088781479,-2.033137164,-1.053125277,-2.753159036,-1.483443694,-2.168818368,-0.620538463,-2.772657644,-3.025228441,-2.618708246,-2.661157006,-2.317551603,-2.127289346,-1.749026734,-2.694657378,-2.620870957,-2.03460709,-2.934870446,-2.485044081,-2.234757406,-2.961851432,-2.49162649,-2.924790272,-2.514219139,-1.255338873,-2.5086281,-2.341656153,-2.114109353,-2.28163232,-2.365612569,-2.11628835,-1.375859314,-2.461412878,-2.545012472,-1.116505418,-1.655150585,-2.430028822,-2.368534094,-1.865768532,-2.072160416,-1.72787898,-2.258959978,-1.252430799,-1.60680701,-2.179553366,-2.573614982,-1.345132954,-2.018337735,-0.014643314,-0.028204835,0.072847665,0.066549493,0.032823677,0.030839185,-0.044082937,0.015265522,0.031204606,-0.013145515,0.01456585,-0.025223446,-0.00774244,61
Tavg High Mountain annual,3.701900432,3.47688364,3.798526007,3.273483428,3.262856063,2.587515438,3.54798299,3.9338967,3.452702919,3.500242501,4.028911073,4.018417864,3.639646318,3.038302058,3.615144503,3.890446012,3.195375711,3.74453804,3.536979035,3.437746792,2.774528657,2.994405645,2.974402844,2.897859821,2.782595648,2.865615615,3.138396936,2.747057728,2.807510652,3.110836109,2.990777293,2.847499049,3.11345898,3.108947966,3.134634968,2.546881718,3.341726179,3.642903903,3.233764033,3.057127306,3.210016216,3.203930796,2.957240617,3.216765316,3.376153885,3.291117763,3.215993986,3.645010716,3.796654313,3.149806943,3.248920518,3.318366381,3.299119805,3.381367439,3.315716683,3.681045535,3.367131813,3.512427195,3.324554405,3.738224065,3.854303523,-0.007025302,-0.044967086,0.008402472,0.036720067,0.042173828,0.035370952,-0.039731148,0.01290768,0.026669674,-0.009234976,0.018420932,-0.012389772,-0.001211465,61
Tavg Hill Monsoon,24.29276001,23.93387742,24.10523762,23.42782486,23.76350393,24.07714384,24.16548797,23.75640093,23.82702665,23.58194308,24.17297103,24.12502508,23.23664791,23.58879501,23.45738101,24.26659722,23.75495915,23.5962044,23.81350156,23.27234919,23.2516534,23.35019317,22.73494695,22.95746263,22.88869568,22.53300342,22.67181755,22.13901966,22.92837637,22.64982238,22.79165677,22.53362299,23.27882438,22.92536328,22.71320555,22.90000595,23.28016627,22.76739167,23.00298985,22.70314842,22.7934924,23.09217907,22.64848143,23.24491807,23.09179071,23.02365351,22.98819806,23.41912614,23.20568474,22.99769897,23.41826609,23.0519053,23.40841449,23.22239968,22.87503961,23.41088569,23.46335382,23.61923056,23.46993665,23.39127707,23.53523425,-0.0385628,-0.043519818,-0.076130065,0.007169932,0.034226213,0.030279437,-0.075668151,0.007476835,0.025352642,-0.025940478,0.006553932,-0.038375488,-0.012551687,61
Tavg Hill Postmonsoon,18.82920673,18.2101776,19.17179555,18.13140582,17.70780798,16.5858999,18.17478113,17.91601373,17.91199521,18.0320348,18.44605908,18.18324502,18.58161954,18.05656351,18.49699541,18.25146812,17.73349472,17.95911393,17.81159416,17.29902975,16.85480439,17.74085102,17.44304747,17.03361183,17.26207593,17.87494097,17.96953367,17.50099461,17.77935051,17.36372578,17.34742563,17.70284078,17.09621624,17.97544721,17.88191221,16.57331373,19.43312069,18.13177608,18.3935031,17.89238473,17.88573631,17.97768728,16.83380544,17.57328145,17.50733821,18.53908073,18.44788286,18.12408204,18.42553106,17.83217471,17.39410553,17.50945111,17.76365679,18.06256941,17.7455948,18.60360351,17.62632343,18.59377131,19.28757889,18.66023264,18.44130591,-0.100197063,-0.104558071,0.051879728,0.108978723,0.077332011,0.166920496,-0.02215048,0.016243442,0.026991513,0.001272732,0.030278171,0.016997591,0.002090518,61
Tavg Hill Premonsoon,19.60278928,18.95470685,19.92496982,19.25885311,19.9305165,18.16604163,19.67118655,19.90425039,19.66900368,18.74011901,20.39349413,20.30785471,19.770424,19.67318176,19.56433174,19.54110152,19.05046748,19.8938987,19.74386503,18.85821372,18.68302053,18.37207502,19.8964106,19.73479062,18.34821217,18.41901138,19.12489012,19.08695331,17.9610853,19.37635055,19.80658149,18.25249784,19.43775199,20.17103441,19.9060534,18.35042766,18.92206236,20.67006609,19.27772817,19.18790129,19.02196304,19.14856356,19.8066805,19.28371769,19.35367025,19.50961558,19.61767808,19.74718542,21.56493061,19.51284166,19.91792082,19.99124566,20.1358653,19.47918445,20.30436354,19.54469238,19.38240054,19.56414625,18.84511012,19.65435339,21.03664684,-0.020575917,-0.115390612,-0.014806949,0.014954662,0.134501988,-0.086688932,-0.027043959,0.028552227,0.048980497,0.005403941,0.040225884,0.009574425,0.007229595,61
Tavg Hill Winter,13.41264073,13.93828689,13.57271471,13.72061911,13.45675539,13.33491086,12.81439635,13.48082685,12.92822726,13.10413714,13.60306292,14.84487114,13.17139918,11.75947129,12.90663065,13.66468881,12.44395821,13.02242942,12.34107685,13.40042487,11.85798946,11.37358011,12.01258452,12.08600598,12.38598889,12.82003263,13.23905695,11.9875653,12.19940766,12.63589588,11.48172257,11.99050891,12.4553089,11.41999591,12.10474374,11.53116235,12.10680523,13.7772616,12.04004883,12.60849787,12.59557879,12.23296649,12.22458155,12.52153269,13.6465211,12.12209723,12.21555865,14.01379996,13.3070494,12.31479624,12.27307947,12.7200307,12.39262363,13.14063351,12.45747318,13.61201466,13.2510145,12.56288263,12.05039309,13.50277837,12.22877521,-0.079678192,-0.104749287,0.10030334,0.112632528,0.069668385,0.052829129,-0.043343437,0.021791784,0.040556948,-0.01476564,0.024650385,-0.026111029,-0.011245548,61
Tavg Hill annual,19.03434919,18.75926219,19.19367942,18.63467572,18.71464595,18.04099906,18.706463,18.76437298,18.5840632,18.36455851,19.15389679,19.36524899,18.69002266,18.26950289,18.6063347,18.93096392,18.24571989,18.61791162,18.4275094,18.20750438,17.66186695,17.70917483,18.02174739,17.95296776,17.72124317,17.9117471,18.25132457,17.67863322,17.71705496,18.00644865,17.85684662,17.61986763,18.06702537,18.1229602,18.15147873,17.33872742,18.43553864,18.83662386,18.17856749,18.09798308,18.07419263,18.1128491,17.87838723,18.15586247,18.39983007,18.29861176,18.31732941,18.82604839,19.12579895,18.1643779,18.25084298,18.31815819,18.42514005,18.47619676,18.34561778,18.79279906,18.43077307,18.58500769,18.41325469,18.80216036,18.81049055,-0.059753493,-0.092054447,0.015311514,0.060933961,0.078932149,0.040835032,-0.042051507,0.018516072,0.0354704,-0.008507361,0.025427093,-0.009478625,-0.00361928,61
