naming,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Tavg High Mountain Monsoon,8.944618496182054,8.747119402236123,8.910318432873167,8.209850906463906,8.380622977507908,8.944491369630429,9.097726962187231,9.035362695383952,8.833949114844488,8.910921346356055,9.186461612706356,9.097041658455565,8.378803137630962,8.939315495291508,8.891723718295738,9.328263033526028,8.968687422499691,8.837497782269404,8.75956397531924,8.347177767008095,8.62580088182341,8.39303372853928,7.695359512095402,7.928468719133079,7.924164814325569,7.640764857471548,7.649471818208499,7.379373818519797,8.163425918065053,7.755250409490598,7.954948573852322,7.711781828392381,8.303435204606897,7.904150274823647,7.889765555113648,7.90429967461326,8.118463609196017,7.962205581898233,8.168478050579829,7.731971042094631,8.015660717624565,8.075833477877481,7.85103881545045,8.292261658132665,8.120037505389705,8.115374908014132,8.03677804946264,8.296240400328896,8.02795451458098,7.930369121127409,8.262028485548182,8.015656708200359,8.165994879302374,8.075642607823966,7.966238929970731,8.437845484886088,8.339820386319015,8.493801061020038,8.29170693765637,8.339291672211184,8.53156106761968,
Tavg High Mountain Postmonsoon,3.2802197990077655,2.892888437273512,3.625662243557665,2.8212103796232384,1.587037254719586,1.1687478753408114,2.7999698899769916,3.0491018845803035,2.3705326461235057,2.9973897855852747,3.0476697185504746,2.8850014388380787,3.384293798693455,2.787965097103414,3.2459921999539834,3.0608609103019844,2.5775115106931263,2.768075154935289,2.787702693252804,2.0423826593960315,1.5630238511524717,2.410188656595588,2.286243095783722,1.8803149789391513,2.040112815183862,2.5547940782817706,2.5841645975638556,2.3562351257865983,2.5813170701863952,2.3790271601585937,2.310043618634017,2.705060241409087,2.09679326247392,2.70167502762988,2.5421273337690975,1.6572104463816775,3.816921229636835,2.7247287084958303,2.9799490994368187,2.7668217064135754,3.0017195143315822,2.9631426857179215,1.900938796838794,2.545716991533977,2.543737961151463,3.183027742574596,2.932688338734131,2.854256731691114,2.98707904159829,2.7925804249560984,2.4095589597262688,2.422848655413897,2.4656966673241207,2.854722823331191,2.6878954590801896,3.175745068618123,2.45236216041689,3.3408808153036484,3.765566655188663,3.4260362395833694,3.293906327501171,
Tavg High Mountain Premonsoon,4.072896502126239,3.4708599601735317,4.2780684516781085,3.6005981837528607,4.395854769385965,2.3002856002135776,4.0971406871796345,4.662564834390324,4.272731269366351,3.6572664639206716,4.895611515228833,4.6531845519412665,4.492555510689768,3.5147091201481966,4.355999257595075,4.2257853803871095,3.988462948081072,4.856022916868257,4.769467837831808,3.981965202339817,3.6819475409077045,4.199628635065245,4.534717012835349,4.443812593429226,3.4836565672747093,3.394192871966874,4.068978062641387,3.9472793459218702,3.1061705761425307,4.3436739543559995,4.63298742480513,3.45819820551816,4.288364856989114,4.7918179941183,4.598273472793843,3.550807022151724,3.9457390153311147,5.140020194820055,4.295257083101496,4.071372628608511,3.93679398384162,4.058379341420845,4.442597424973997,4.145370964777062,4.2166993874655025,4.327481280224033,4.439522029227385,4.546051148975973,5.826734280343523,4.30630704810708,4.692628718634929,4.700728693565083,4.636948087955759,4.322983306387353,4.867692322619132,4.3630223845061025,4.28315171352298,4.3945802678925,3.814559010472489,4.532701303593538,5.610084432331965,
Tavg High Mountain Winter,-1.4901330703538505,-1.203333239093567,-1.6199451010410637,-1.5377257586842101,-1.312090748908382,-2.0634630941695904,-1.802905577998843,-1.011442614362573,-1.6664013543414091,-1.5646075920467835,-1.014098555594756,-0.5615561915438596,-1.6970671733294347,-3.088781479232804,-2.033137164313531,-1.053125276599833,-2.753159035508772,-1.483443693504038,-2.168818368282244,-0.6205384625029238,-2.77265764431189,-3.025228441444027,-2.6187082457363187,-2.6611570058769143,-2.3175516030465046,-2.127289346049011,-1.7490267341693055,-2.694657377860205,-2.6208709572199176,-2.0346070896803115,-2.9348704460299095,-2.4850440809905403,-2.234757406045956,-2.961851431583318,-2.4916264900988065,-2.924790272008033,-2.5142191386585147,-1.2553388732338584,-2.5086281000482553,-2.3416561530397537,-2.11410935323315,-2.281632319622828,-2.3656125690368106,-2.116288350389863,-1.37585931435194,-2.461412877775533,-2.5450124719181932,-1.1165054179649332,-1.6551505854146433,-2.4300288219501187,-2.368534093505515,-1.8657685322225495,-2.0721604156442086,-1.7278789797959326,-2.258959978083504,-1.252430799065015,-1.6068070097745502,-2.1795533658074486,-2.5736149815286637,-1.3451329543070742,-2.01833773473832,-0.8671855134863561
Tavg High Mountain annual,3.701900431740552,3.4768836401474,3.798526006766969,3.273483427788949,3.2628560631762693,2.5875154377538068,3.5479829903362536,3.9338966999980016,3.452702918998234,3.5002425009538043,4.028911072722727,4.018417864422762,3.6396463184211876,3.0383020583275786,3.615144502882816,3.890446011903822,3.1953757114412795,3.744538040142228,3.536979034530402,3.437746791560255,2.774528657392924,2.9944056446890217,2.9744028437445387,2.8978598214061355,2.782595648434409,2.8656156154177954,3.138396936061109,2.747057728092015,2.8075106517935153,3.11083610858122,2.9907772928153897,2.847499048582272,3.1134589795059937,3.1089479662471273,3.1346349678944456,2.546881717784657,3.341726178876363,3.642903902995065,3.2337640332674717,3.057127306019241,3.2100162156411542,3.203930796348355,2.9572406170566077,3.2167653160134604,3.3761538849136827,3.291117763259307,3.215993986376491,3.6450107157577625,3.7966543127770374,3.1498069430601174,3.2489205176009666,3.3183663812391972,3.2991198047345116,3.3813674394366444,3.315716683396637,3.6810455347363247,3.367131812621084,3.5124271946021843,3.3245544054472145,3.7382240652702543,3.8543035231786242,-0.8671855134863561
Tavg Hill Monsoon,24.292760006974405,23.933877422747443,24.105237615308766,23.42782486112823,23.76350392672922,24.077143841808414,24.165487966617363,23.756400930415175,23.82702664900028,23.581943079189774,24.172971026414398,24.12502507590287,23.23664791082434,23.58879500683592,23.457381012131467,24.266597223604094,23.754959150367426,23.596204404998296,23.81350156188833,23.272349194229133,23.251653401783145,23.350193171475016,22.734946951280282,22.95746262564036,22.88869568339599,22.533003417420893,22.671817545997214,22.139019661685637,22.92837637130938,22.64982238318339,22.791656770324337,22.53362298953575,23.278824376976157,22.925363275828545,22.71320554744166,22.900005948140656,23.280166273191735,22.767391670786864,23.002989847316627,22.703148422877923,22.793492398299957,23.09217907458708,22.64848142606703,23.244918065468255,23.09179070976211,23.023653507220025,22.988198056734745,23.419126144431427,23.205684741268954,22.99769897430911,23.418266085334153,23.051905301031283,23.40841448810988,23.22239968234184,22.875039608799266,23.41088569062591,23.463353815951738,23.6192305583604,23.46993664814059,23.39127706668762,23.535234252064388,
Tavg Hill Postmonsoon,18.829206733473026,18.21017759792925,19.171795552261802,18.131405816118164,17.707807975831997,16.585899900727227,18.174781132131557,17.91601373284059,17.911995209857196,18.032034796639138,18.446059078269442,18.183245021921607,18.58161953961015,18.056563510067615,18.49699540793993,18.251468121730557,17.73349471729734,17.959113931199926,17.811594164743827,17.299029748847527,16.854804394927598,17.740851022459545,17.443047474542915,17.033611827373615,17.26207593100638,17.874940969138304,17.96953367475226,17.500994607465383,17.77935050588488,17.363725784491233,17.347425632977348,17.70284077596836,17.096216235674227,17.97544720975352,17.88191220796122,16.57331372840671,19.433120686736217,18.131776076847856,18.393503099035218,17.892384733740087,17.885736310686926,17.977687278735214,16.83380543838919,17.573281447908144,17.5073382133299,18.539080725864608,18.447882856794543,18.124082040314157,18.42553106326352,17.832174710904567,17.394105531650077,17.509451110104518,17.763656790119875,18.062569410188598,17.745594803184936,18.603603510482294,17.626323430389206,18.59377131144958,19.28757888838109,18.66023263596914,18.441305910662624,
Tavg Hill Premonsoon,19.602789275185245,18.954706852280157,19.924969815135665,19.25885310854582,19.930516503726025,18.166041627511714,19.67118654918274,19.904250394217296,19.66900367962219,18.740119012756075,20.393494133769206,20.307854705750792,19.770423998844162,19.673181762288095,19.56433173946342,19.54110151949166,19.05046748175232,19.89389870393569,19.74386502728833,18.858213721071703,18.683020530611856,18.37207501520737,19.896410602178776,19.734790620560716,18.348212173973753,18.419011376367678,19.1248901178875,19.08695331208845,17.961085301035585,19.376350552879675,19.80658149477954,18.252497840076728,19.437751989678866,20.171034405417444,19.90605340302684,18.350427662815637,18.922062364114957,20.670066086993668,19.277728173990745,19.187901294996465,19.0219630371487,19.148563564597016,19.80668049697985,19.28371769056906,19.353670249909854,19.50961557909579,19.61767808109623,19.747185420315564,21.56493060878188,19.51284165721794,19.91792082164659,19.991245662488343,20.135865298719626,19.479184446239554,20.304363538252307,19.544692377191282,19.382400538466772,19.564146250053376,18.845110124014724,19.65435338825326,21.03664684219366,
Tavg Hill Winter,13.412640729928636,13.938286887176274,13.5727147060233,13.720619105151767,13.456755393723894,13.334910860325117,12.814396353445426,13.480826854812031,12.928227257276125,13.104137144778612,13.60306292198766,14.844871143659844,13.171399183741995,11.759471293972032,12.906630651462988,13.664688808723296,12.44395820940128,13.022429422080995,12.34107685238233,13.400424867719298,11.857989456538569,11.373580111778553,12.01258452179861,12.086005981265565,12.385988892112822,12.820032632888074,13.239056948748312,11.98756529560767,12.199407656143642,12.635895875927831,11.481722573430732,11.990508905419416,12.455308897294415,11.419995914105835,12.10474374404742,11.531162345079027,12.10680522655126,13.777261598905682,12.040048830809166,12.608497865720278,12.595578791231487,12.23296648844241,12.224581548546691,12.521532694453178,13.64652110005696,12.122097231103758,12.21555865302893,14.01379995918729,13.307049396415797,12.314796243819638,12.27307947017483,12.720030704360456,12.392623634926926,13.140633509178622,12.45747317915787,13.612014663465896,13.251014500416334,12.562882633778148,12.050393088590258,13.502778366763344,12.228775214398839,13.976044169092233
Tavg Hill annual,19.03434918639033,18.75926219003328,19.193679422182385,18.634675722735995,18.714645950002783,18.04099905759312,18.70646300034427,18.764372978071272,18.58406319893895,18.3645585083409,19.153896790110178,19.36524898680878,18.69002265825516,18.269502893290916,18.60633470274945,18.930963918387402,18.245719889704592,18.617911615553727,18.427509401575705,18.207504382966917,17.661866945965293,17.709174830230122,18.021747387450144,17.952967763710063,17.721243170122236,17.911747098953736,18.25132457184632,17.678633219211786,17.717054958593373,18.006448649120532,17.856846617877988,17.619867627750065,18.067025374905917,18.122960201276335,18.151478725619285,17.33872742111051,18.43553863764854,18.83662385838352,18.178567487787937,18.097983079333687,18.074192634341767,18.11284910159043,17.87838722749569,18.155862474599658,18.399830068264706,18.298611760821046,18.31732941191361,18.82604839106211,19.125798952432536,18.164377896562815,18.250842977201412,18.31815819449615,18.425140052969077,18.476196761987154,18.345617782348594,18.792799060441347,18.430773071306014,18.585007688410375,18.413254687281665,18.80216036441834,18.81049055482988,13.976044169092233
