Set1,Set2,Set3,Combined_Name
Minimum,Hill,Winter,Minimum Hill Winter
Minimum,Hill,Premonsoon,Minimum Hill Premonsoon
Minimum,Hill,Monsoon,Minimum Hill Monsoon
Minimum,Hill,Postmonsoon,Minimum Hill Postmonsoon
Minimum,Hill,Annual,Minimum Hill Annual
Minimum,Middle Mountain,Winter,Minimum Middle Mountain Winter
Minimum,Middle Mountain,Premonsoon,Minimum Middle Mountain Premonsoon
Minimum,Middle Mountain,Monsoon,Minimum Middle Mountain Monsoon
Minimum,Middle Mountain,Postmonsoon,Minimum Middle Mountain Postmonsoon
Minimum,Middle Mountain,Annual,Minimum Middle Mountain Annual
Minimum,Siwalik,Winter,Minimum Siwalik Winter
Minimum,Siwalik,Premonsoon,Minimum Siwalik Premonsoon
Minimum,Siwalik,Monsoon,Minimum Siwalik Monsoon
Minimum,Siwalik,Postmonsoon,Minimum Siwalik Postmonsoon
Minimum,Siwalik,Annual,Minimum Siwalik Annual
Minimum,Tarai,Winter,Minimum Tarai Winter
Minimum,Tarai,Premonsoon,Minimum Tarai Premonsoon
Minimum,Tarai,Monsoon,Minimum Tarai Monsoon
Minimum,Tarai,Postmonsoon,Minimum Tarai Postmonsoon
Minimum,Tarai,Annual,Minimum Tarai Annual
Minimum,High Mountain,Winter,Minimum High Mountain Winter
Minimum,High Mountain,Premonsoon,Minimum High Mountain Premonsoon
Minimum,High Mountain,Monsoon,Minimum High Mountain Monsoon
Minimum,High Mountain,Postmonsoon,Minimum High Mountain Postmonsoon
Minimum,High Mountain,Annual,Minimum High Mountain Annual
Minimum,All,Winter,Minimum All Winter
Minimum,All,Premonsoon,Minimum All Premonsoon
Minimum,All,Monsoon,Minimum All Monsoon
Minimum,All,Postmonsoon,Minimum All Postmonsoon
Minimum,All,Annual,Minimum All Annual
Maximum,Hill,Winter,Maximum Hill Winter
Maximum,Hill,Premonsoon,Maximum Hill Premonsoon
Maximum,Hill,Monsoon,Maximum Hill Monsoon
Maximum,Hill,Postmonsoon,Maximum Hill Postmonsoon
Maximum,Hill,Annual,Maximum Hill Annual
Maximum,Middle Mountain,Winter,Maximum Middle Mountain Winter
Maximum,Middle Mountain,Premonsoon,Maximum Middle Mountain Premonsoon
Maximum,Middle Mountain,Monsoon,Maximum Middle Mountain Monsoon
Maximum,Middle Mountain,Postmonsoon,Maximum Middle Mountain Postmonsoon
Maximum,Middle Mountain,Annual,Maximum Middle Mountain Annual
Maximum,Siwalik,Winter,Maximum Siwalik Winter
Maximum,Siwalik,Premonsoon,Maximum Siwalik Premonsoon
Maximum,Siwalik,Monsoon,Maximum Siwalik Monsoon
Maximum,Siwalik,Postmonsoon,Maximum Siwalik Postmonsoon
Maximum,Siwalik,Annual,Maximum Siwalik Annual
Maximum,Tarai,Winter,Maximum Tarai Winter
Maximum,Tarai,Premonsoon,Maximum Tarai Premonsoon
Maximum,Tarai,Monsoon,Maximum Tarai Monsoon
Maximum,Tarai,Postmonsoon,Maximum Tarai Postmonsoon
Maximum,Tarai,Annual,Maximum Tarai Annual
Maximum,High Mountain,Winter,Maximum High Mountain Winter
Maximum,High Mountain,Premonsoon,Maximum High Mountain Premonsoon
Maximum,High Mountain,Monsoon,Maximum High Mountain Monsoon
Maximum,High Mountain,Postmonsoon,Maximum High Mountain Postmonsoon
Maximum,High Mountain,Annual,Maximum High Mountain Annual
Maximum,All,Winter,Maximum All Winter
Maximum,All,Premonsoon,Maximum All Premonsoon
Maximum,All,Monsoon,Maximum All Monsoon
Maximum,All,Postmonsoon,Maximum All Postmonsoon
Maximum,All,Annual,Maximum All Annual
Average,Hill,Winter,Average Hill Winter
Average,Hill,Premonsoon,Average Hill Premonsoon
Average,Hill,Monsoon,Average Hill Monsoon
Average,Hill,Postmonsoon,Average Hill Postmonsoon
Average,Hill,Annual,Average Hill Annual
Average,Middle Mountain,Winter,Average Middle Mountain Winter
Average,Middle Mountain,Premonsoon,Average Middle Mountain Premonsoon
Average,Middle Mountain,Monsoon,Average Middle Mountain Monsoon
Average,Middle Mountain,Postmonsoon,Average Middle Mountain Postmonsoon
Average,Middle Mountain,Annual,Average Middle Mountain Annual
Average,Siwalik,Winter,Average Siwalik Winter
Average,Siwalik,Premonsoon,Average Siwalik Premonsoon
Average,Siwalik,Monsoon,Average Siwalik Monsoon
Average,Siwalik,Postmonsoon,Average Siwalik Postmonsoon
Average,Siwalik,Annual,Average Siwalik Annual
Average,Tarai,Winter,Average Tarai Winter
Average,Tarai,Premonsoon,Average Tarai Premonsoon
Average,Tarai,Monsoon,Average Tarai Monsoon
Average,Tarai,Postmonsoon,Average Tarai Postmonsoon
Average,Tarai,Annual,Average Tarai Annual
Average,High Mountain,Winter,Average High Mountain Winter
Average,High Mountain,Premonsoon,Average High Mountain Premonsoon
Average,High Mountain,Monsoon,Average High Mountain Monsoon
Average,High Mountain,Postmonsoon,Average High Mountain Postmonsoon
Average,High Mountain,Annual,Average High Mountain Annual
Average,All,Winter,Average All Winter
Average,All,Premonsoon,Average All Premonsoon
Average,All,Monsoon,Average All Monsoon
Average,All,Postmonsoon,Average All Postmonsoon
Average,All,Annual,Average All Annual
