Temperature_Type,Region,Season,1962 to 1971,1972 to 1981,1982 to 1991, 1992 to 2001,2002 to 2011,2012 to 2021,1962 - 2022
Tavg,High Mountain,Monsoon,0.025195464,-0.043016788,-0.073591079,0.00085698,0.002134045,0.033520552,-0.013523589
Tavg,High Mountain,Postmonsoon,-0.057980444,-0.082583394,0.069806781,0.070519538,0.029406644,0.134569757,0.005141139
Tavg,High Mountain,Premonsoon,0.019327085,-0.026063328,-0.035453481,0.008954256,0.104330945,-0.057445687,0.011279029
Tavg,High Mountain,Winter,-0.014643314,-0.028204835,0.072847665,0.066549493,0.032823677,0.030839185,-0.00774244
Tavg,High Mountain,annual,-0.007025302,-0.044967086,0.008402472,0.036720067,0.042173828,0.035370952,-0.001211465
Tavg,Hill,Monsoon,-0.0385628,-0.043519818,-0.076130065,0.007169932,0.034226213,0.030279437,-0.012551687
Tavg,Hill,Postmonsoon,-0.100197063,-0.104558071,0.051879728,0.108978723,0.077332011,0.166920496,0.002090518
Tavg,Hill,Premonsoon,-0.020575917,-0.115390612,-0.014806949,0.014954662,0.134501988,-0.086688932,0.007229595
Tavg,Hill,Winter,-0.079678192,-0.104749287,0.10030334,0.112632528,0.069668385,0.052829129,-0.011245548
Tavg,Hill,annual,-0.059753493,-0.092054447,0.015311514,0.060933961,0.078932149,0.040835032,-0.00361928
Tavg,Koshi Basin,Monsoon,-0.015744053,-0.072642419,-0.03067992,-0.003092171,-0.024861076,0.054997898,-0.023361307
Tavg,Koshi Basin,Postmonsoon,-0.085087957,-0.124684253,0.122710022,0.075318993,0.017200325,0.160294647,-0.000894966
Tavg,Koshi Basin,Premonsoon,-0.006294842,-0.083420847,-0.011412511,0.005137166,0.093397662,-0.056788322,0.002100244
Tavg,Koshi Basin,Winter,-0.056402552,-0.077354431,0.109323806,0.078332589,-0.016603369,0.039124087,-0.017561335
Tavg,Koshi Basin,annual,-0.040882351,-0.089525488,0.047485349,0.038924144,0.017283386,0.049407077,-0.009929341
Tavg,Middle Mountain,Monsoon,-0.021784309,-0.050047131,-0.050660096,0.003689826,0.00308424,0.110219518,-0.013600036
Tavg,Middle Mountain,Postmonsoon,-0.089087426,-0.105136807,0.054337128,0.094336205,0.141499315,0.278668719,0.018073264
Tavg,Middle Mountain,Premonsoon,-0.010075127,-0.091883432,-0.018173065,0.01163243,0.175870732,-0.086395355,0.014409772
Tavg,Middle Mountain,Winter,-0.062563751,-0.084606011,0.072699891,0.096458354,0.051812219,-0.050051385,0.010386907
Tavg,Middle Mountain,annual,-0.045877653,-0.082918345,0.014550965,0.051529204,0.093066627,0.063110374,0.007317477
Tavg,Siwalik,Monsoon,-0.021784309,-0.176581225,0.111682284,-0.030867418,-0.178195782,-0.038540887,-0.057232577
Tavg,Siwalik,Postmonsoon,-0.089087426,-0.226006187,0.367024261,0.008424295,-0.220951285,-0.016689564,-0.028909491
Tavg,Siwalik,Premonsoon,-0.010075127,-0.091883432,0.029177019,-0.021487948,-0.06983312,-0.043331037,-0.026354005
Tavg,Siwalik,Winter,-0.062563751,-0.084606011,0.204478871,0.019564219,-0.281050651,0.070240835,-0.064164542
Tavg,Siwalik,annual,-0.045877653,-0.144769214,0.178090609,-0.006091713,-0.18750771,-0.007080163,-0.044165154
Tavg,Tarai,Monsoon,-0.021784309,-0.050047131,-0.064700646,0.003689826,0.014445905,0.13951087,-0.019898647
Tavg,Tarai,Postmonsoon,-0.089087426,-0.105136807,0.07050221,0.094336205,0.058714942,0.238003825,-0.000870261
Tavg,Tarai,Premonsoon,-0.010075127,-0.091883432,-0.017806082,0.01163243,0.122117768,-0.0100806,0.003936828
Tavg,Tarai,Winter,-0.062563751,-0.084606011,0.096289261,0.096458354,0.043729525,0.091762672,-0.015041052
Tavg,Tarai,annual,-0.045877653,-0.082918345,0.021071186,0.051529204,0.059752035,0.114799192,-0.007968283
Tmax,High Mountain,Monsoon,0.039723292,-0.08685329,-0.090564019,0.027866406,0.02596666,-0.054549457,-0.011086752
Tmax,High Mountain,Postmonsoon,-0.016649312,-0.128037131,0.014475453,0.115751629,0.050274295,0.05207012,0.011392491
Tmax,High Mountain,Premonsoon,0.01776731,-0.151447011,-0.054758823,0.020034879,0.143968869,-0.143956513,0.018568087
Tmax,High Mountain,Winter,0.044451896,-0.168671015,-0.034198346,0.147234277,0.066574141,-0.046844882,0.003065302
Tmax,High Mountain,annual,0.021323297,-0.133752112,-0.041261433,0.077721798,0.071695991,-0.048320183,0.005484782
Tmax,Hill,Monsoon,-0.044421665,-0.080471828,-0.114023369,0.038811591,0.052568859,-0.01707671,-0.012254508
