,High Mountain,,Hill,,Middle Mountain,,Siwalik,,Tarai,,Total Average of Tmin,Total Average of Tmax
Row Labels,Average of Tmin,Average of Tmax,Average of Tmin,Average of Tmax,Average of Tmin,Average of Tmax,Average of Tmin,Average of Tmax,Average of Tmin,Average of Tmax,,
1992,-9.707917279,6.616090858,12.88161121,22.22144013,,,11.89010989,28.51555556,,,10.40056209,20.49742438
1993,-9.533307558,6.670518152,12.67716814,21.86813742,,,20.51263736,32.70254777,,,11.02725115,20.80284448
1994,-9.755624051,6.683571972,12.69512742,22.86439114,,,19.37749288,33.38092308,,,11.36525388,22.26086881
1995,-9.978042627,6.581061916,13.02845349,22.62343366,,,19.14804469,32.31544944,,,11.63868063,22.04589929
1996,-9.696588088,6.474444445,12.92334247,22.80610242,,,18.89398907,31.6042735,,,11.54242967,21.79911837
1997,-9.874388425,6.668238415,11.87227147,22.00427928,,,18.27835616,31.90418994,,,10.61988535,21.49923126
1998,-9.932109465,6.518056735,13.45141643,22.99366391,,,19.56126374,32.43295455,,,12.00051086,22.34205188
1999,-9.430958211,6.344347543,13.31280159,23.50541139,,,19.32684932,32.94696133,,,11.90713115,22.79863972
2000,-9.30239012,6.568808125,12.4973918,22.69019859,,,17.57557252,31.46717557,,,10.73801588,21.43913753
2001,-10.0195911,6.558313978,12.34901267,22.98860258,,,18.73671233,32.78159341,,,10.9647964,22.36624926
2002,-9.320816197,6.820793071,12.61355932,22.95190461,,,20.31028571,32.69827586,,,11.38697494,22.3226259
2003,-10.12332148,6.746499521,12.76349904,22.74686448,,,,,,,10.68859498,21.14770907
2004,-9.678572496,6.429628446,12.70413451,22.4453567,,,22.04843049,32.93542601,,,11.27054537,21.54008732
2005,-9.648521005,6.718892385,12.56775272,23.19319292,,,20.12865497,32.89239766,,,11.28758165,22.52028549
2006,-9.575254949,6.636699472,12.79911894,23.31753289,,,19.98082192,32.12837466,,,11.50392856,22.58860469
2007,-9.569242663,6.620072531,13.3976115,23.13902239,,,19.68767123,31.78033708,,,12.16962518,22.49060465
2008,-10.15664583,6.766844562,13.32703719,24.1161896,6.031940299,21.41639871,18.74863388,31.86601671,,,11.79128847,23.30966011
2009,-10.23802552,6.729418205,13.84023896,24.57791072,7.388493151,20.74164384,19.54414414,33.23003003,,,12.24822012,23.65980018
2010,-9.838040853,6.625711659,13.93165623,24.29304486,5.06,20.13360882,17.9339726,31.98027397,,,12.15601429,23.39698771
2011,-9.961891241,6.743392947,13.02614988,24.0337809,6.281917808,20.18672566,17.55013699,31.78072626,,,11.54839084,23.20949514
2012,-9.733922743,6.665966325,12.82724416,24.3903732,4.15729927,21.21806569,17.56257485,33.99331307,,,11.03443593,23.54869808
2013,-9.941141578,6.836934133,13.16384241,24.23144796,5.125782414,21.95737705,17.61890411,31.4019337,,,11.18470871,23.33540303
2014,-9.900791512,6.49405324,13.49539238,24.27746354,5.103492647,18.34327808,19.38082192,30.86222222,21.28581818,32.44836364,12.10373217,23.44342201
2015,-9.409384791,6.712186401,13.45701573,23.54552452,5.533585477,18.1719697,19.90931507,31.11777778,19.8939726,31.4559322,12.12887129,22.89848327
2016,-9.963244653,6.556488835,13.53004191,23.98027883,6.159489051,17.85451197,18.5510989,31.7,,,11.18298097,22.17260927
2017,-9.571381061,6.6074527,13.85721393,24.47234186,6.68685446,18.59076682,19.87424658,32.13719008,,,12.11919433,23.20815895
2018,-10.02211638,6.506077143,13.29411533,24.0441707,6.747142857,18.24266667,19.08328767,31.66620112,,,11.65764459,22.80860634
2019,-9.667613862,6.679216127,13.58550128,24.11546479,7.89512894,17.42930781,19.1290411,31.48089888,,,11.99941595,22.76852502
2020,-9.772834536,6.601833728,13.59367416,23.75542169,8.597443609,16.77763975,19.01639344,30.53259053,,,12.09840733,22.4036721
2021,-9.421229007,6.672768574,14.03733308,24.21461668,9.194931507,18.2297668,19.36043956,30.84674221,,,12.52389408,22.87040296
2022,-9.600116369,6.896040655,14.07208301,24.32947658,9.220175439,19.45489614,19.50219178,30.83524355,,,12.56952079,23.14261133
Grand Total,-9.753348206,6.637329551,13.20807092,23.57033576,6.765343977,19.04181081,19.09975543,32.00058929,20.49203125,31.88982512,11.65321421,22.61498612
