,Date,Station,Lat,Long,Elev,Max T,Min T
421656,2014-04-01,1316,26.82044,87.15917,105,34.5,13.5
421657,2014-04-02,1316,26.82044,87.15917,105,34.7,15.0
421658,2014-04-03,1316,26.82044,87.15917,105,35.3,15.5
421659,2014-04-04,1316,26.82044,87.15917,105,33.0,20.5
421660,2014-04-05,1316,26.82044,87.15917,105,31.5,19.0
421661,2014-04-06,1316,26.82044,87.15917,105,34.0,19.3
421662,2014-04-07,1316,26.82044,87.15917,105,34.4,21.5
421663,2014-04-08,1316,26.82044,87.15917,105,33.0,20.0
421664,2014-04-09,1316,26.82044,87.15917,105,33.5,20.5
421665,2014-04-10,1316,26.82044,87.15917,105,35.0,18.5
421666,2014-04-11,1316,26.82044,87.15917,105,35.0,17.0
421667,2014-04-12,1316,26.82044,87.15917,105,35.5,17.0
421668,2014-04-13,1316,26.82044,87.15917,105,37.0,23.3
421669,2014-04-14,1316,26.82044,87.15917,105,36.0,20.5
421670,2014-04-15,1316,26.82044,87.15917,105,37.5,19.5
421671,2014-04-16,1316,26.82044,87.15917,105,37.3,18.5
421672,2014-04-17,1316,26.82044,87.15917,105,37.0,20.5
421673,2014-04-18,1316,26.82044,87.15917,105,37.0,19.0
421674,2014-04-19,1316,26.82044,87.15917,105,37.0,21.5
421675,2014-04-20,1316,26.82044,87.15917,105,38.4,20.0
421676,2014-04-21,1316,26.82044,87.15917,105,38.5,17.7
421677,2014-04-22,1316,26.82044,87.15917,105,39.0,18.5
421678,2014-04-23,1316,26.82044,87.15917,105,38.3,18.5
421679,2014-04-24,1316,26.82044,87.15917,105,38.5,18.5
421680,2014-04-25,1316,26.82044,87.15917,105,39.5,20.5
421681,2014-04-26,1316,26.82044,87.15917,105,38.0,20.0
421682,2014-04-27,1316,26.82044,87.15917,105,37.0,22.4
421683,2014-04-28,1316,26.82044,87.15917,105,35.5,18.5
421684,2014-04-29,1316,26.82044,87.15917,105,36.0,21.5
421685,2014-04-30,1316,26.82044,87.15917,105,34.5,18.5
421686,2014-05-01,1316,26.82044,87.15917,105,37.5,17.0
421687,2014-05-02,1316,26.82044,87.15917,105,30.2,17.0
421688,2014-05-03,1316,26.82044,87.15917,105,32.2,20.4
421689,2014-05-04,1316,26.82044,87.15917,105,31.0,21.4
421690,2014-05-05,1316,26.82044,87.15917,105,31.5,20.0
421691,2014-05-06,1316,26.82044,87.15917,105,33.0,20.5
421692,2014-05-07,1316,26.82044,87.15917,105,33.5,22.2
421693,2014-05-08,1316,26.82044,87.15917,105,34.0,23.5
421694,2014-05-09,1316,26.82044,87.15917,105,33.6,23.6
421695,2014-05-10,1316,26.82044,87.15917,105,38.5,21.5
421696,2014-05-11,1316,26.82044,87.15917,105,36.0,22.0
421697,2014-05-12,1316,26.82044,87.15917,105,33.8,24.4
421698,2014-05-13,1316,26.82044,87.15917,105,34.5,24.0
421699,2014-05-14,1316,26.82044,87.15917,105,39.0,23.0
421700,2014-05-15,1316,26.82044,87.15917,105,38.5,21.5
421701,2014-05-16,1316,26.82044,87.15917,105,37.3,21.8
421702,2014-05-17,1316,26.82044,87.15917,105,38.0,21.0
421703,2014-05-18,1316,26.82044,87.15917,105,35.6,23.0
421704,2014-05-19,1316,26.82044,87.15917,105,34.5,24.5
421705,2014-05-20,1316,26.82044,87.15917,105,35.0,25.5
421706,2014-05-21,1316,26.82044,87.15917,105,36.8,25.0
421707,2014-05-22,1316,26.82044,87.15917,105,35.6,21.5
421708,2014-05-23,1316,26.82044,87.15917,105,35.0,25.0
421709,2014-05-24,1316,26.82044,87.15917,105,34.0,25.0
421710,2014-05-25,1316,26.82044,87.15917,105,37.0,25.0
421711,2014-05-26,1316,26.82044,87.15917,105,29.0,23.0
421712,2014-05-27,1316,26.82044,87.15917,105,28.0,23.5
421713,2014-05-28,1316,26.82044,87.15917,105,29.5,23.0
421714,2014-05-29,1316,26.82044,87.15917,105,31.0,22.5
421715,2014-05-30,1316,26.82044,87.15917,105,33.5,22.0
421716,2014-05-31,1316,26.82044,87.15917,105,33.5,23.0
421717,2014-06-01,1316,26.82044,87.15917,105,35.5,24.0
421718,2014-06-02,1316,26.82044,87.15917,105,35.5,26.5
421719,2014-06-03,1316,26.82044,87.15917,105,34.0,24.5
421720,2014-06-04,1316,26.82044,87.15917,105,35.0,26.0
421721,2014-06-05,1316,26.82044,87.15917,105,35.5,25.5
421722,2014-06-06,1316,26.82044,87.15917,105,34.2,24.0
421723,2014-06-07,1316,26.82044,87.15917,105,33.0,25.0
421724,2014-06-08,1316,26.82044,87.15917,105,33.0,25.5
421725,2014-06-09,1316,26.82044,87.15917,105,34.2,25.0
421726,2014-06-10,1316,26.82044,87.15917,105,33.0,23.4
421727,2014-06-11,1316,26.82044,87.15917,105,36.0,25.0
421728,2014-06-12,1316,26.82044,87.15917,105,37.0,26.0
421729,2014-06-13,1316,26.82044,87.15917,105,34.5,25.0
421730,2014-06-14,1316,26.82044,87.15917,105,35.0,24.0
421731,2014-06-15,1316,26.82044,87.15917,105,36.0,24.5
421732,2014-06-16,1316,26.82044,87.15917,105,36.5,25.5
421733,2014-06-17,1316,26.82044,87.15917,105,36.5,24.2
421734,2014-06-18,1316,26.82044,87.15917,105,36.5,24.5
421735,2014-06-19,1316,26.82044,87.15917,105,37.5,25.5
421736,2014-06-20,1316,26.82044,87.15917,105,34.4,24.5
421737,2014-06-21,1316,26.82044,87.15917,105,30.5,25.0
421738,2014-06-22,1316,26.82044,87.15917,105,32.5,24.5
421739,2014-06-23,1316,26.82044,87.15917,105,33.0,24.0
421740,2014-06-24,1316,26.82044,87.15917,105,31.0,23.0
421741,2014-06-25,1316,26.82044,87.15917,105,34.0,24.2
421742,2014-06-26,1316,26.82044,87.15917,105,36.5,24.5
421743,2014-06-27,1316,26.82044,87.15917,105,35.5,24.5
421744,2014-06-28,1316,26.82044,87.15917,105,34.5,26.0
421745,2014-06-29,1316,26.82044,87.15917,105,34.0,25.5
421746,2014-06-30,1316,26.82044,87.15917,105,33.0,26.0
421747,2014-07-01,1316,26.82044,87.15917,105,30.0,25.0
421748,2014-07-02,1316,26.82044,87.15917,105,34.0,25.3
421749,2014-07-03,1316,26.82044,87.15917,105,34.5,26.0
421750,2014-07-04,1316,26.82044,87.15917,105,34.5,26.5
421751,2014-07-05,1316,26.82044,87.15917,105,33.5,26.5
421752,2014-07-06,1316,26.82044,87.15917,105,33.0,25.5
421753,2014-07-07,1316,26.82044,87.15917,105,35.0,26.5
421754,2014-07-08,1316,26.82044,87.15917,105,33.3,26.4
421755,2014-07-09,1316,26.82044,87.15917,105,34.0,26.4
421756,2014-07-10,1316,26.82044,87.15917,105,34.5,26.5
421757,2014-07-11,1316,26.82044,87.15917,105,35.0,26.0
421758,2014-07-12,1316,26.82044,87.15917,105,35.5,25.0
421759,2014-07-13,1316,26.82044,87.15917,105,34.0,26.4
421760,2014-07-14,1316,26.82044,87.15917,105,35.0,26.5
421761,2014-07-15,1316,26.82044,87.15917,105,32.5,25.5
